id,data_inversa,dia_semana,horario,uf,br
327802,2020-12-14,segunda-feira,02:50:00,SP,116
327804,2020-12-14,segunda-feira,02:20:00,PR,373
327805,2020-12-13,domingo,23:30:00,MA,222
327807,2020-12-14,segunda-feira,05:00:00,SC,470
327808,2020-12-13,domingo,19:15:00,RS,153
327809,2020-12-14,segunda-feira,05:45:00,SE,235
327810,2020-12-14,segunda-feira,03:40:00,SE,101
327811,2020-12-14,segunda-feira,04:50:00,MS,163
327812,2020-12-14,segunda-feira,05:40:00,MG,381
327814,2020-12-14,segunda-feira,06:30:00,MG,381
327815,2020-12-14,segunda-feira,06:00:00,PR,116
327817,2020-12-14,segunda-feira,05:50:00,PR,376
327818,2020-12-14,segunda-feira,07:10:00,GO,153
327819,2020-12-14,segunda-feira,07:00:00,RS,392
327823,2020-12-14,segunda-feira,07:30:00,GO,153
327824,2020-12-13,domingo,19:00:00,MT,70
327825,2020-12-14,segunda-feira,07:50:00,GO,60
327826,2020-12-14,segunda-feira,07:00:00,RJ,116
327827,2020-12-13,domingo,09:15:00,SC,470
327828,2020-12-14,segunda-feira,07:35:00,ES,101
327831,2020-12-14,segunda-feira,07:45:00,RJ,116
327832,2020-12-13,domingo,23:30:00,SP,116
327833,2020-12-14,segunda-feira,07:55:00,SC,101
327835,2020-12-14,segunda-feira,08:30:00,GO,70
327836,2020-12-14,segunda-feira,08:20:00,GO,60
327838,2020-12-14,segunda-feira,08:55:00,SC,101
327843,2020-12-14,segunda-feira,08:50:00,ES,101
327844,2020-12-14,segunda-feira,06:00:00,SP,381
327845,2020-12-14,segunda-feira,09:40:00,TO,0
327846,2020-12-13,domingo,22:00:00,MS,60
327847,2020-12-14,segunda-feira,08:00:00,MG,262
327849,2020-12-14,segunda-feira,09:37:00,BA,101
327850,2020-12-14,segunda-feira,06:50:00,AC,364
327852,2020-12-14,segunda-feira,09:30:00,RJ,101
327853,2020-12-14,segunda-feira,10:10:00,PB,101
327854,2020-12-13,domingo,05:30:00,PR,476
327855,2020-12-14,segunda-feira,10:15:00,SC,101
327857,2020-12-14,segunda-feira,10:45:00,SP,116
327859,2020-12-14,segunda-feira,11:00:00,MS,262
327862,2020-12-14,segunda-feira,11:00:00,SP,116
327863,2020-12-14,segunda-feira,10:30:00,RS,285
327866,2020-11-18,quarta-feira,08:30:00,BA,407
327867,2020-11-09,segunda-feira,01:00:00,SC,282
327869,2020-12-14,segunda-feira,10:00:00,MS,359
327874,2020-12-14,segunda-feira,09:54:00,GO,50
327875,2020-12-14,segunda-feira,11:40:00,PA,230
327877,2020-12-14,segunda-feira,12:55:00,PR,376
327878,2020-12-14,segunda-feira,13:00:00,PR,376
327879,2020-12-14,segunda-feira,13:10:00,SC,280
327880,2020-12-14,segunda-feira,13:30:00,RS,158
327881,2020-12-14,segunda-feira,12:00:00,SC,282
327883,2020-12-14,segunda-feira,12:30:00,RJ,116
327884,2020-12-14,segunda-feira,12:00:00,RR,401
327886,2020-12-14,segunda-feira,13:40:00,RS,116
327887,2020-12-14,segunda-feira,13:11:00,MG,381
327889,2020-12-14,segunda-feira,12:50:00,ES,482
327890,2020-12-14,segunda-feira,13:30:00,PB,230
327891,2020-12-14,segunda-feira,14:15:00,CE,222
